sprite: tiles_house
height: 8
no_lineup: 1


1111: 16
0000: 16
1000: 0
1100: 1
1001: 2
0100: 3
0001: 4 
0110: 5
0011: 6
0010: 7
0111: 8
1011: 9
1101: 10
1110: 11
1010: 12
0101: 13



/*tiling: side
1111: 19
0000: 19

1001: 0
1000: 1
0010: 1
1010: 1
0100: 2
0001: 2
0101: 2
1100: 3
0011: 4
0110: 7
*/

/*1101: 8
1011: 9
0111: 10
1110: 11*/


/*
1111: 276
0000: 278
1001: 260
1000: 266
0010: 266
1010: 261
0100: 265
0001: 265
0101: 262
1100: 263
0011: 264
0110: 267
1101: 268
1011: 269
0111: 270
1110: 271
*/
